epoch,acc,loss,val_acc,val_loss
0,0.68235415,0.8660190156300862,0.75208336,0.7097934931119283
1,0.7799375,0.6056812794208527,0.80025,0.5448580044110616
2,0.8123958,0.5258934212525685,0.80983335,0.5166262431144715
3,0.828875,0.4809279036521912,0.83275,0.46574709852536517
4,0.8398125,0.44975979161262514,0.83783334,0.4472564237912496
5,0.84725,0.42473485120137533,0.8519167,0.416569863319397
6,0.85683334,0.4031431970993678,0.85525,0.4040955437819163
7,0.8597917,0.3890063935915629,0.8599167,0.39511336040496825
8,0.8659375,0.37270135994752246,0.8524167,0.4110519081751505
9,0.86720836,0.3671902379989624,0.865,0.37747903474171957
10,0.8740417,0.351448238492012,0.86791664,0.36492972580591837
11,0.8750833,0.3458868164221446,0.86975,0.36466089010238645
12,0.87875,0.3350114501317342,0.8745,0.3503847246170044
13,0.8796875,0.331438872218132,0.87525,0.3439398583571116
14,0.88425,0.3221951855023702,0.8755,0.352027526140213
15,0.88483334,0.3171487389008204,0.87583333,0.3485244065920512
16,0.8877917,0.3115436317523321,0.881,0.33183168625831605
17,0.8888958,0.3054019372065862,0.8789167,0.34127050964037575
18,0.89152086,0.29809307006994884,0.87841666,0.33317271173000335
19,0.8930625,0.29323650095860165,0.8814167,0.32762282594045006
20,0.8958333,0.29001521545648573,0.88058335,0.32635446337858837
21,0.8961875,0.28387029401461283,0.88625,0.3169747264385223
22,0.8988125,0.2802237417300542,0.87225,0.3451494719982147
23,0.90054166,0.27628776903947194,0.89141667,0.3068362820148468
24,0.90079165,0.27330710264046987,0.8879167,0.3127002363204956
25,0.9022083,0.26799036059776943,0.8925,0.3011905988852183
26,0.9030833,0.26479676830768584,0.89533335,0.29276034621397656
27,0.90552086,0.2609160953164101,0.88975,0.30452800965309146
28,0.906375,0.25524815420309704,0.89491665,0.2983530968825022
29,0.90664583,0.25450625554720563,0.89525,0.29491242750485736
