epoch,acc,loss,val_acc,val_loss
0,0.6834583,0.8759619460105896,0.7581667,0.6499905597368876
1,0.78129166,0.5956193439165751,0.79183334,0.5782184756596883
2,0.8073958,0.5258948470751444,0.81991667,0.5097429829438528
3,0.82797915,0.4777891720533371,0.814,0.49053789575894674
4,0.8368958,0.45022875841458637,0.84141666,0.441388324658076
5,0.84539586,0.4245552258491516,0.84683335,0.4282339255015055
6,0.8540417,0.40434832755724587,0.852,0.41458269174893697
7,0.85854167,0.39090205283959706,0.8635833,0.38248252002398175
8,0.8628125,0.3783641204039256,0.85966665,0.38666592121124266
9,0.86733335,0.36726415928204853,0.8634167,0.37936360136667885
10,0.87114584,0.35364464366436005,0.8715,0.360395468155543
11,0.875125,0.34347587446371713,0.87225,0.35724693830808
12,0.8792292,0.33474234747886655,0.8771667,0.3428723294734955
13,0.88145834,0.32451037208239236,0.87766665,0.336036141316096
14,0.882375,0.3214854276974996,0.8778333,0.3402427650292714
15,0.8851875,0.3119446290334066,0.87625,0.3402027916113536
16,0.88654166,0.30779277884960177,0.87883335,0.3417638636430105
