epoch,acc,loss,val_acc,val_loss
0,0.6689375,0.8995993762016297,0.7456667,0.6871897474924723
1,0.7756042,0.6122586464881897,0.79866666,0.5567999596595764
2,0.8053542,0.539247487783432,0.80916667,0.5196541406313578
3,0.818125,0.4992222607135773,0.82425,0.4922366072336833
4,0.83177084,0.46559584911664326,0.83416665,0.45250348671277363
5,0.8420208,0.439070147673289,0.84041667,0.44455287416776024
6,0.8485208,0.4194619915485382,0.85391665,0.41654417649904885
7,0.85570836,0.3997585921684901,0.8524167,0.40576260582606
8,0.86064583,0.38477409482002256,0.85791665,0.3862038075129191
9,0.8668333,0.3696494131882985,0.8606667,0.38717868185043336
10,0.8693542,0.3584826609690984,0.86725,0.36765334630012514
11,0.8721875,0.35065744694073997,0.8645833,0.38110662372907
12,0.8746458,0.3445774178504944,0.87275,0.35089996321996053
13,0.87927085,0.3315269602139791,0.8725833,0.3501185286839803
14,0.88135415,0.32520964606602987,0.87625,0.33866919128100076
15,0.88483334,0.3186354262431463,0.87591666,0.339941002368927
16,0.88695836,0.3120844700137774,0.87991667,0.33273726852734886
17,0.8874583,0.30747350843747456,0.88458335,0.3215669016043345
18,0.89064586,0.29903296772638954,0.87941664,0.326414656718572
19,0.8932292,0.29695032620429995,0.88208336,0.3289307771921158
20,0.8933125,0.29085530185699465,0.88625,0.3142138186295827
21,0.8957083,0.2853481811285019,0.88666666,0.3132090702851613
22,0.8970417,0.283128431280454,0.88591665,0.319178519765536
23,0.89827085,0.2793559192021688,0.88708335,0.3073329068024953
24,0.9010417,0.2748505165378253,0.89108336,0.3042528567314148
25,0.90035415,0.27020704038937887,0.88266665,0.321417240301768
26,0.90120834,0.2690002879500389,0.88158333,0.32640608139832816
27,0.90345836,0.26582000495990116,0.89375,0.3033546036084493
28,0.90552086,0.2592049645980199,0.8919167,0.29977661871910094
29,0.9053125,0.25737275707721713,0.895,0.2923646295865377
